Title,Date,Link,Content
Tight VLSFO supplies see ships swerve past Singapore,"July 7, 2022",https://splash247.com/tight-vlsfo-supplies-see-ships-swerve-past-singapore/,"For the first time in nearly two months, crude oil prices have fallen below $100 a barrel this week, yet in Singapore the price gap between high and low sulphur fuel oil – known as the Hi5 – remains at record highs, nudging towards $600 per tonne with ships in the region increasingly swerving away to other bunkering destinations.
The pricing gap between Singapore and Rotterdam, the world’s two largest bunkering hubs, is stark.
“VLSFO supply has been acutely tight for weeks in Singapore’s bunker market, with high price premiums quoted for prompt delivery dates,” a new report from bunker platform Engine states, adding: “Sources in Singapore’s bunker market point to a lack of incoming VLSFO cargo flows as a reason for the grade being tight.”
The situation is expected to remain tight throughout July with reports emerging of ships avoiding Singapore for bunker operations, something that could increase on quality concerns. Global testing firm Intertek Lintec on Tuesday issued an alert regarding flash points below the ISO 8217 minimum requirement of 60°C found in VLSFO bunker samples from vessels that have taken fuel in Singapore, the latest in a series of damaging bunker quality incidents hitting the republic this year. 
“It is the nature of the product and the inter-relationships with high priced transport fuels that is driving VLSFO prices so high, especially in Singapore. The position in the east is stronger than in the west, with exceptionally low diesel and gasoline exports out of India and China resulting in highly restricted supplies east of Suez,” a recent report from Integr8 Fuels pointed out.
This year’s growing price gap between shipping’s main two fuels is seeing a renewed interest in scrubbers.
Looking at the VLCC segment, Norwegian broker Fearnleys observed in its most recent weekly report: “The disparity between the scrubbered and unscrubbered vessels is stark.”
With a price differential close to double, a VLCC owner able to burn high sulphur fuel oil can look to earn around $27,000 a day for a Middle East to China run, according to Fearnleys. However, for the non-eco, non-scrubber vessels, on the same voyage, TCE returns are still struggling to break even.
Many will be eyeing the next dry dock as an opportunity to fit a scrubber and level the playing field
“Many will be eyeing the next dry dock as an opportunity to fit a scrubber and level the playing field,” Fearnleys predicted, something rival broker Clarksons also forecast in its latest weekly report, noting that thanks to the high fuel price differential, the share of global tonnage with a scrubber is set to grow to 24% by start 2023.
Prices for crude oil have dropped noticeably this week with growing fears about recession in many western countries. Not all shipping analysts are convinced that a plummeting oil price will be eagerly greeted by the shipping industry at large. 
“Shippers and shipping companies will normally agree that lower crude and bunker prices are to be preferred, however, right now most will probably be happy for crude to stay around $100 per barrel as much lower prices will be a reflection of adverse global economic developments that help no one,” BIMCO’s chief shipping analyst, Niels Rasmussen, commented today. "
VLSFO to HSFO price differential stands at record $538 per ton in Singapore,"June 13, 2022",https://splash247.com/vlsfo-to-hsfo-price-differential-stands-at-record-538-per-ton-in-singapore/,"Scrubber payback times are accelerating fast for those ships calling at the world’s largest bunkering hub, Singapore.
Very low sulphur fuel oil (VLSFO) prices in Rotterdam are at $965 per ton and $1,149 per ton in Singspore. However, while VLSFO prices are rocketing, high sulphur fuel oil (HSFO or IFO380) prices are falling back, resulting in an ever-wider spread between compliant fuel oil and heavy fuel oil.
Owners with scrubber equipment now are able to reap the benefits of deltas ranging from $332 per ton in Rotterdam and $538.50 per ton in Singapore. This also means the divergences have never been bigger, with Lars Jensen from liner consultancy Vespucci Maritime putting these numbers in context last week.
The IFO380 average fuel price in 2019, prior to the low-sulphur rules, was $433 per ton. Now the premium for VLSFO alone is at the level of the full fuel price prior to IMO2020 and prior to the pandemic, Jensen observed in a post on LinkedIn.
“The prospect of a $700 per ton difference between VLSFO and HSFO, held out as a prospect by the scrubber manufacturers at the advent of the IMO2020 regulations, is starting to become more realistic by the day,” a markets update from broker Lorentzen & Co stated today.
High prices are not the only concern in Singapore. Fresh from a bunker contamination scandal, the Southeast Asian republic is facing further quality issues with FOBAS, the fuel testing unit of British class society Lloyd’s Register, issuing a warning that a number of VLSFO samples from Singapore have exceeded the 0.5% limit for water with the fuels in question found to have water ranging between 0.65% to 1.9%.
“Any carry over of water into the engine fuel rail has potential to cause damage to the fuel pumps, injectors and cylinder components as wekk as possible turbo charger surging and fouling,” FOBAS warned in an advisory.
Some 200 ships were hit hard by off-spec high sulphur fuel oil sold in Singapore by Glencore and PetroChina in February and March. The fuel was found to contain high concentration levels of damaging chlorinated organic compounds.
For further background on the rising disparity in fuel prices check out this earlier article from Splash."
"VLSFO prices top $1,000, price gap widens massively in Singapore","May 27, 2022",https://splash247.com/vlsfo-prices-top-1000-price-gap-widens-massively-in-singapore/,"The global average price for very low sulphur fuel oil (VLSFO) has shot up above $1,000 per tonne this week according to data from Ship&Bunker. Moreover, the price differential to high sulphur fuel oil (HSFO) at Singapore, the world’s largest bunkering hub has spiralled to a record $359 per tonne, a gap that was just $80 at the end of April.
According to Steve Christy, research contributor at Integr8fuels, the gasoline, and middle distillate markets have led oil prices higher over recent weeks and although refinery margins are still very high, they are falling. Tightness in products is still the main price support, according to Christy.
The extreme price moves in Singapore – and the very sizeable Hi5 as the bunker price differential is known – is also down to the fact that HSFO prices have fallen with Russian volumes finding their way east rather than west. At Europe’s largest bunkering hub, Rotterdam, by contrast, the Hi5 is half that of Singapore’s.
The rise in crude oil prices that followed the Russian invasion of Ukraine is clearly seen in bunker fuel surcharges being issued by containerlines. Across all trade lanes, the average fuel surcharges have risen close to 50%, reaching almost $600 per feu, according to container data platform, Xeneta.
“As bunker prices remain high, these surcharges are unlikely to fall any time soon, and some shippers will be seeing even higher surcharges,” an update from Xeneta this week suggested.
"
Surging oil demand sees VLSFO prices surpass $600 for first time since the start of the pandemic,"October 18, 2021",https://splash247.com/surging-oil-demand-sees-vlsfo-prices-surpass-600-for-first-time-since-the-start-of-the-pandemic/,"The price for very low sulphur fuel oil (VLSFO) has crossed the $600 per ton mark for the first time since just after the global sulphur cap came into existence at the start of last year.
Oil prices are beginning the week on another hefty rise, following eight weeks of gains. Brent increased by 0.97% in early trading to $85.68 a barrel on the December ICE contract. WTI was up by 1.36% to $83.40  in the November Nymex market, the highest figure seen since 2014.
In Rotterdam, the price of VLSFO is now $606 per ton and in Singapore it stands at $ 622 per ton. February 2020 was last time VLSFO prices were in the $600 per ton territory.
Analysts at Norwegian shipbrokers Lorentzen & Stemoco noted today that as VLSFO prices march ahead, prices for high sulphur fuel oil are starting to lag, reopening the spread in the fuel types. In Fujairah, for example, the delta is over $100 per ton.
“That will comfort shipowners with scrubber installations able to save some $6,000 a day on VLCCs laden with crude consuming about 60 tons per day,” the analysts suggested in a note to clients today.
Latest data from Clarksons shows that in gross tonnage terms 23.9% of the global merchant fleet including the orderbook are fitted with scrubbers.

"
High black carbon emissions from VLSFO heaps pressure on IMO,"January 27, 2020",https://splash247.com/high-black-carbon-emissions-from-vlsfo-heaps-pressure-on-imo/,"Following on from a landmark study funded by the German Environment Agency that suggests some blends of the new very low sulphur fuel oil (VLSFO) contain higher black carbon emissions than its forebear, high sulphur fuel oil (HSFO), the International Maritime Organization (IMO) is coming under pressure to ban the new fuel in Arctic waters.
“New hybrid fuels with 0.50% sulphur content used in the study contained a high proportion of aromatic compounds in a range of 70% to 95%, which resulted in increased [black carbon] emissions in a range of 10% to 85% compared to HFO,” the German study sent to the IMO claimed. The higher emissions were most noticeable when the engine was running at less than full capacity.
In the wake of the submission, which was supported by Finland, a number of NGOs are demanding the IMO takes swift action. The Clean Arctic Alliance has today called for the IMO to support an immediate switch to distillate fuels for ships in the Arctic and develop a global rule prohibiting fuels with high black carbon emissions.
“If immediate action isn’t taken by the International Maritime Organization, the shipping industry’s use of VLSFO – introduced to comply with the 2020 sulphur cap – will lead to a massive increase in black carbon emissions, and this will both accelerate the melting of Arctic sea ice and have a major impact on Earth’s climate,” said Dr Sian Prior, lead Aadvisor to the Clean Arctic Alliance.
Also demanding a fuel change today is John Maggs, senior policy advisor at Seas at Risk, who questioned  how VLSFO was allowed to be created in the first place.
“There are serious questions to be answered about how these blended super pollutant Frankenstein fuels ever came to market. It beggars belief that amidst a global climate crisis, the marine fuel industry could develop these VLSFOs without knowing their effect on black carbon emissions and the climate, particularly in the Arctic – especially as the IMO has spent almost a decade considering how to reduce black carbon emissions from shipping,” Maggs said today.
The Clean Arctic Alliance has written a letter containing the following questions to representatives of the marine fuel industry who prepared the definitive guidance on the supply and use of 0.5% sulphur marine fuel, to ask if they were aware that these new low sulphur heavy fuel blends had higher aromatic content, and if they were aware of the link between higher aromatic content in fuels and higher black carbon emissions?
“If the answer to the above questions is ‘yes’, then why did you not immediately seek to halt the production of these fuels and alert the IMO?,” the NGO questioned in its letter.
The letter was sent to IACS, IBIA, IPIECA, IMarEST, IUMI, OCIMF, and the Royal Institute of Naval Architects – all of whom have consultative status to the IMO. The letter was also sent to ARA, Concawe, CIMAC and JPEC. All of the organisations are named as co-authors of of the Joint Industry Guidance on the supply and use of 0.50%-sulphur marine fuel, published in August 2019."
VLSFO sediment issue goes global,"January 27, 2020",https://splash247.com/vlsfo-sediment-issue-goes-global/,"Veritas Petroleum Services (VPS) is warning clients that the issue of fuel instability leading to sediment formation in very low sulphur fuel oil (VLSFO) has now gone global.
Splash has reported in recent weeks of high sediment being reported in VLSFO samples at European ports and the major bunkering hubs of Singapore and Houston. The situation is now believed to be far more widespread.
Between December 24 2019 and January 21, VPS has issued seven bunker alerts relating to sediment issues within VLSFO fuels. These bunker alerts show that sediment problems within VLSFOs is not restricted to a single port, or region, over this recent four-week period, as alerts have been issued in relation to fuel supplied in Singapore, Piraeus, Amsterdam, Rotterdam, Miami and San Vincente.
Steve Bee, group commercial and business development director for VPS, stated, “I’ve never known such a concentrated frequency of bunker alerts to be issued in relation to a single fuel quality problem as we have seen with sediment problems in VLSFOs over the past four weeks.”
On January 3, Splash reported an alarming 60% of proposed blends for making 0.5% low sulphur fuel oil in Houston, America’s top bunkering destination, failed to meet sediment specifications, according to tests carried out by AmSpec Services, while FOBAS, the fuel verification company owned by class society Lloyd’s Register, has also issued recent similar alerts about non-compliant fuels cropping up in Europe and Singapore, the world’s largest bunkering hub.
The news is set to keep lawyers busy in the first weeks of the global sulphur cap era. Excess sediment blocks filters and can cause engine damage.
Beth Bradley, a partner at law firm Hill Dickinson, commented that the current marine fuel supply situation is looking like the “perfect storm” for litigators.
“There are a great number of issues which may radically impact on the liability situation. It’s gearing up to the perfect storm for litigators,” Bradley said.
Hill Dickinson has recommended that time charterparties and related bunker supply contracts should contain carefully worded provisions to clarify bunker specifications, sampling procedures and how the potential loss of time owing to inspections and de-bunkering operations is to be shared."
Coastal shipping along India’s east coast grinding to a halt on lack of VLSFO,"January 13, 2020",https://splash247.com/coastal-shipping-along-indias-east-coast-grinding-to-a-halt-on-lack-of-vlsfo/,"The IMO 2020 regulation has its first global trade scalp with news from south Asia where coastal shipping operations along India’s eastern coast risk grinding to a halt later this week due to the scarcity of low sulphur fuel oil.
“There is virtually no supply of low sulphur fuel oil and all the coastal ships including the feeder container vessels plying between Indian ports on the east coast will come to a standstill from this week as soon as they exhaust whatever little stock they had,” a top executive with a shipping company told the local Hindu BusinessLine today.
The looming fuel shortage was discussed in a tripartite meeting last week between government, refiners and owners.
India had repeatedly said last year it might not be in a position to comply with the global sulphur cap regulations, which started on January 1.
The situation on the west coast is better, the Hindu Business Line newspaper stated, due to the availability of the fuel in Kandla and Cochin for most coastal ships.
Splash is waiting for comment from a number of local feeder operators to confirm the fuel scarcity on the east coast.
Other nations have also hinted at a lack of available VLSFO in recent months, most notably the Philippines."
Beijing grants tax waiver on VLSFO exports,"January 13, 2020",https://splash247.com/beijing-grants-tax-waiver-on-vlsfo-exports/,"Beijing has given the green light to a tax waiver on exports of very low sulphur fuel oil (VLSFO) with Chinese refiners keen to take a significant global market share of the new fuel type.
Zhoushan, off Ningbo, is trying to position itself as a bunkering hub to rival Asia’s dominant Singapore with a host of bunker-related companies setting up in the area over the past two years.
Reuters reported on Friday that Chinese refiners will supply the new VLSFO to bonded storages along the country’s coast, and from there they will be retailed to ships by 12 licensed bunker dealers. Supplies to bonded tanks are considered as exports and will be managed by a quota system."
Fuel contamination spreads to Singapore,"August 8, 2023",https://splash247.com/fuel-contamination-spreads-to-singapore/,"The fuel contamination incident in Houston Splash reported on a month ago has now spread to Singapore, the world’s largest bunkering hub.
Fuel checker VPS reported a VLSFO contamination case at the Texan port on July 11, the largest bunkering hub in the Americas.
VPS detected the presence of dicyclopentadiene (DCPD) and associated isomers at significantly high levels in VLSFO bunker fuel deliveries in Houston from a single supplier for three months from March to May this year.
DCPDs are unsaturated chemical compounds which can make bunker fuel more sticky and viscous. Many vessels subsequently lost power and propulsion from the off-spec fuel.
VPS now states that 14 ships have taken on contaminated fuel which has caused damage, and while 12 of them bought the bunkers in Houston, two were topping up in Singapore. 
Multiple, multi-million dollar court cases were launched from the last big bunker contamination case in Houston three years ago."
Low and high sulphur fuel price spread narrows to lows not seen since 2020,"July 12, 2023",https://splash247.com/low-and-high-sulphur-fuel-price-spread-narrows-to-lows-not-seen-since-2020/,"The Hi-5 spread, the price differential between high and low sulphur oil, has narrowed to levels not seen since the end of 2020, the year that the global sulphur cap came into being. 
The price gap between the dominant two fuels in world shipping at the world’s top 20 fuelling hubs, as tracked by Ship&Bunker, stood at $81 per ton yesterday, a figure not recorded since the final week of 2020. 
The price spread has been incredibly volatile since the global sulphur cap – also known as IMO2020 – came into force on January 1, 2020. The all-time low was in October 2020 at $47.80 per ton, while the record high was hit in the middle of last year when scrubber-fitted ships enjoyed a massive $408.70 saving compared to rivals forced to use very low sulphur oil (VLSFO).
Year-on year, this week last year VLSFO was $990.70 per ton and now it is $594.33, a decrease of 40%. "
