Word,Frequency
the,2786
to,1451
of,1325
and,1231
in,1027
a,889
for,611
is,571
fuel,492
that,445
with,402
as,387
on,382
be,368
at,333
will,333
this,325
are,295
from,275
by,269
has,235
it,232
have,217
vlsfo,200
oil,192
we,185
shipping,183
fuels,181
bunker,173
an,169
sulphur,166
ships,161
not,154
price,146
per,141
year,136
more,135
prices,133
can,133
new,129
or,124
which,121
its,120
global,115
emissions,113
low,110
market,110
carbon,110
hsfo,105
been,104
was,100
marine,99
their,98
up,97
lng,97
but,93
bunkering,91
than,91
these,91
there,91
singapore,89
energy,87
now,86
green,86
also,85
they,85
between,84
vessels,83
industry,83
ship,83
high,82
over,82
very,80
said,80
would,79
all,77
today,77
demand,77
supply,74
first,73
years,72
most,70
one,69
methanol,69
into,68
imo,67
spread,66
so,65
scrubber,65
fleet,65
last,64
some,64
use,64
technology,63
time,62
about,62
other,61
maritime,61
world’s,60
around,60
many,60
could,59
ton,59
when,59
owners,57
tanker,57
scrubbers,56
our,56
two,55
if,55
out,54
while,54
were,54
what,54
need,54
maersk,54
recent,53
just,53
week,52
tonne,52
largest,52
higher,52
future,52
decarbonisation,52
no,51
cap,51
such,50
vessel,49
see,49
cost,49
being,48
however,46
world,46
us,46
months,45
how,45
only,44
ports,44
since,43
likely,43
day,42
less,42
production,42
january,42
crude,41
engine,41
even,41
next,41
levels,41
zero,41
rotterdam,40
average,40
used,40
make,40
propulsion,40
costs,40
mgo,40
report,39
splash,39
seen,39
had,39
current,39
gas,39
ammonia,39
well,39
rates,39
where,38
using,38
sector,38
start,37
further,37
should,37
month,37
already,37
power,36
still,35
data,35
end,35
down,35
under,35
ceo,35
going,35
increase,34
according,34
much,34
across,34
change,34
reduce,34
due,34
alternative,34
any,32
trade,32
take,32
i,32
lower,31
way,31
including,31
port,31
may,31
operators,31
available,31
biofuel,31
biofuels,31
transition,31
below,30
weeks,30
same,30
far,30
wind,30
help,29
you,29
top,29
significant,29
atomic,29
differential,28
large,28
markets,28
shipowners,28
major,28
then,28
company,28
suppliers,28
total,28
currently,28
engines,28
waste,28
those,27
number,27
terms,27
international,27
coming,27
compared,27
gap,26
companies,26
hub,26
container,26
capacity,26
flow,26
it’s,25
three,25
technologies,25
during,25
fossil,25
regulations,24
hfo,24
both,24
risk,24
period,24
past,24
come,24
yesterday,24
chain,24
expect,24
tankers,24
investment,24
mass,24
bio-lng,24
hubs,23
quality,23
products,23
clean,23
impact,23
who,23
leading,23
like,23
solutions,23
nuclear,23
get,23
existing,23
infrastructure,23
euronav,23
latest,22
set,22
means,22
full,22
research,22
volumes,22
trading,22
key,22
result,22
before,22
systems,22
sustainable,22
carriers,22
needed,22
delivery,21
looking,21
vlcc,21
analysts,21
premium,21
vlccs,21
business,21
design,21
capture,21
do,21
days,21
expensive,21
long,21
through,21
spot,21
cargo,20
expected,20
after,20
increased,20
fitted,20
without,20
commercial,20
making,20
availability,20
off,20
bunkers,20
onboard,20
drop,20
term,20
reduction,20
